city_or_municipality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,total
"SALUG, (ZAMBOANGA DEL NORTE)", 5 , - , - , 1 , 1 , 1 , - , - , 4 , 1 , 2 , 15 
"SERGIO OSMEÑA SR., (ZAMBOANGA DEL NORTE)", 1 , 2 , - , 1 , - , 1 , - , 1 , 1 , 2 , 2 , 11 
"SIAYAN, (ZAMBOANGA DEL NORTE)", 2 , 1 , - , - , 2 , - , 1 , 1 , 3 , 3 , 3 , 16 
"SIBUCO, (ZAMBOANGA DEL NORTE)", - , 1 , - , - , - , 1 , - , - , 1 , - , 1 , 4 
"SIBUTAD, (ZAMBOANGA DEL NORTE)", 2 , - , - , 1 , - , 1 , 2 , 1 , 1 , 1 , 2 , 11 
"SINDANGAN, (ZAMBOANGA DEL NORTE)", 7 , 12 , 2 , 29 , 17 , 13 , 15 , 17 , 15 , 14 , 17 , 158 
"SIOCON, (ZAMBOANGA DEL NORTE)", 1 , - , - , 1 , - , 1 , 1 , 2 , - , - , 1 , 7 
"SIRAWAI, (ZAMBOANGA DEL NORTE)", - , - , - , - , - , - , - , 1 , - , - , 1 , 2 
"TAMPILISAN, (ZAMBOANGA DEL NORTE)", 4 , - , - , 4 , - , 2 , 1 , 2 , 1 , 4 , 3 , 21 
"JOSE DALMAN (PONOT), (ZAMBOANGA DEL NORTE)", 1 , - , - , 1 , - , 2 , - , 1 , 1 , 1 , 2 , 9 
